date,close
2025/5/1 21:45,5620.78 
2025/5/1 22:00,5609.02 
2025/5/1 22:15,5622.36 
2025/5/1 22:30,5639.83 
2025/5/1 22:45,5641.11 
2025/5/1 23:00,5651.89 
2025/5/1 23:15,5652.90 
2025/5/1 23:30,5650.27 
2025/5/1 23:45,5639.11 
2025/5/2 0:00,5621.00 
2025/5/2 0:15,5621.97 
2025/5/2 0:30,5620.67 
2025/5/2 0:45,5621.34 
2025/5/2 1:00,5614.57 
2025/5/2 1:15,5631.99 
2025/5/2 1:30,5630.13 
2025/5/2 1:45,5620.68 
2025/5/2 2:00,5624.03 
2025/5/2 2:15,5636.84 
2025/5/2 2:30,5635.95 
2025/5/2 2:45,5639.50 
2025/5/2 3:00,5634.54 
2025/5/2 3:15,5633.76 
2025/5/2 3:30,5637.76 
2025/5/2 3:45,5631.61 
2025/5/2 4:00,5604.14 
2025/5/2 21:45,5663.99 
2025/5/2 22:00,5653.77 
2025/5/2 22:15,5669.04 
2025/5/2 22:30,5679.92 
2025/5/2 22:45,5668.36 
2025/5/2 23:00,5675.40 
2025/5/2 23:15,5674.00 
2025/5/2 23:30,5663.83 
2025/5/2 23:45,5676.17 
2025/5/3 0:00,5679.95 
2025/5/3 0:15,5696.36 
2025/5/3 0:30,5689.68 
2025/5/3 0:45,5696.35 
2025/5/3 1:00,5692.27 
2025/5/3 1:15,5686.16 
2025/5/3 1:30,5685.49 
2025/5/3 1:45,5689.12 
2025/5/3 2:00,5689.60 
2025/5/3 2:15,5695.46 
2025/5/3 2:30,5694.32 
2025/5/3 2:45,5697.84 
2025/5/3 3:00,5687.99 
2025/5/3 3:15,5684.42 
2025/5/3 3:30,5693.96 
2025/5/3 3:45,5692.12 
2025/5/3 4:00,5686.67 
2025/5/5 21:45,5642.49 
2025/5/5 22:00,5646.94 
2025/5/5 22:15,5649.46 
2025/5/5 22:30,5653.85 
2025/5/5 22:45,5662.13 
2025/5/5 23:00,5667.19 
2025/5/5 23:15,5664.92 
2025/5/5 23:30,5665.55 
2025/5/5 23:45,5660.69 
2025/5/6 0:00,5667.39 
2025/5/6 0:15,5670.83 
2025/5/6 0:30,5674.27 
2025/5/6 0:45,5675.13 
2025/5/6 1:00,5673.85 
2025/5/6 1:15,5670.13 
2025/5/6 1:30,5669.11 
2025/5/6 1:45,5672.69 
2025/5/6 2:00,5674.53 
2025/5/6 2:15,5680.58 
2025/5/6 2:30,5679.00 
2025/5/6 2:45,5682.78 
2025/5/6 3:00,5675.09 
2025/5/6 3:15,5670.00 
2025/5/6 3:30,5665.05 
2025/5/6 3:45,5663.17 
2025/5/6 4:00,5650.38 
2025/5/6 21:45,5610.12 
2025/5/6 22:00,5592.37 
2025/5/6 22:15,5605.97 
2025/5/6 22:30,5622.95 
2025/5/6 22:45,5623.74 
2025/5/6 23:00,5625.03 
2025/5/6 23:15,5626.62 
2025/5/6 23:30,5633.67 
2025/5/6 23:45,5624.52 
2025/5/7 0:00,5620.78 
2025/5/7 0:15,5645.94 
2025/5/7 0:30,5623.11 
2025/5/7 0:45,5618.64 
2025/5/7 1:00,5609.33 
2025/5/7 1:15,5619.85 
2025/5/7 1:30,5613.48 
2025/5/7 1:45,5602.95 
2025/5/7 2:00,5602.05 
2025/5/7 2:15,5606.99 
2025/5/7 2:30,5621.73 
2025/5/7 2:45,5619.78 
2025/5/7 3:00,5627.24 
2025/5/7 3:15,5623.10 
2025/5/7 3:30,5624.71 
2025/5/7 3:45,5627.59 
2025/5/7 4:00,5606.91 
2025/5/7 21:45,5628.09 
2025/5/7 22:00,5631.18 
2025/5/7 22:15,5632.09 
2025/5/7 22:30,5635.46 
2025/5/7 22:45,5634.36 
2025/5/7 23:00,5611.81 
2025/5/7 23:15,5602.53 
2025/5/7 23:30,5608.70 
2025/5/7 23:45,5617.18 
2025/5/8 0:00,5616.03 
2025/5/8 0:15,5616.90 
2025/5/8 0:30,5609.00 
2025/5/8 0:45,5621.79 
2025/5/8 1:00,5629.76 
2025/5/8 1:15,5634.58 
2025/5/8 1:30,5630.03 
2025/5/8 1:45,5619.69 
2025/5/8 2:00,5610.88 
2025/5/8 2:15,5584.28 
2025/5/8 2:30,5596.91 
2025/5/8 2:45,5613.04 
2025/5/8 3:00,5625.33 
2025/5/8 3:15,5618.39 
2025/5/8 3:30,5596.57 
