date,close
2025/5/6,2647.72 
2025/5/7,2670.70 
2025/5/8,2679.51 
2025/5/9,2684.01 
2025/5/12,2702.62 
2025/5/13,2708.06 
2025/5/14,2753.79 
2025/5/15,2740.30 
2025/5/16,2716.66 
2025/5/19,2705.09 
2025/5/20,2716.63 
2025/5/21,2728.43 
2025/5/22,2733.63 
2025/5/23,2711.85 
2025/5/26,2699.42 
2025/5/27,2685.28 
2025/5/28,2683.06 
2025/5/29,2690.89 
2025/5/30,2678.70 
2025/6/3,2687.30 
2025/6/4,2690.82 
2025/6/5,2692.13 
2025/6/6,2688.85 
2025/6/9,2686.83 
2025/6/10,2676.40 
2025/6/11,2692.14 
2025/6/12,2691.28 
2025/6/13,2676.43 
2025/6/16,2685.01 
2025/6/17,2683.95 
2025/6/18,2679.92 
2025/6/19,2665.52 
2025/6/20,2673.72 
2025/6/23,2684.78 
2025/6/24,2715.92 
2025/6/25,2747.73 
2025/6/26,2738.47 
2025/6/27,2707.57 
2025/6/30,2711.99 
2025/7/1,2717.71 
2025/7/2,2722.55 
2025/7/3,2724.55 
2025/7/4,2740.44 
2025/7/7,2731.53 
2025/7/8,2747.19 
2025/7/9,2739.92 
2025/7/10,2756.93 
2025/7/11,2756.77 
2025/7/14,2757.81 
2025/7/15,2747.23 
2025/7/16,2740.90 
2025/7/17,2744.26 
2025/7/18,2764.52 
2025/7/21,2772.24 
2025/7/22,2792.18 
2025/7/23,2801.20 
2025/7/24,2812.44 
2025/7/25,2795.51 
2025/7/28,2802.77 
2025/7/29,2808.59 
2025/7/30,2819.35 
2025/7/31,2775.99 
