date,close
2025/5/1,40752.96 
2025/5/2,41317.43 
2025/5/5,41218.83 
2025/5/6,40829.00 
2025/5/7,41113.97 
2025/5/8,41368.45 
2025/5/9,41249.38 
2025/5/12,42410.10 
2025/5/13,42140.43 
2025/5/14,42051.06 
2025/5/15,42322.75 
2025/5/16,42654.74 
2025/5/19,42792.07 
2025/5/20,42677.24 
2025/5/21,41860.44 
2025/5/22,41859.09 
2025/5/23,41603.07 
2025/5/27,42343.65 
2025/5/28,42098.70 
2025/5/29,42215.73 
2025/5/30,42270.07 
2025/6/2,42305.48 
2025/6/3,42519.64 
2025/6/4,42427.74 
2025/6/5,42319.74 
2025/6/6,42762.87 
2025/6/9,42761.76 
2025/6/10,42866.87 
2025/6/11,42865.77 
2025/6/12,42967.62 
2025/6/13,42197.79 
2025/6/16,42515.09 
2025/6/17,42215.80 
2025/6/18,42171.66 
2025/6/20,42206.82 
2025/6/23,42581.78 
2025/6/24,43089.02 
2025/6/25,42982.43 
2025/6/26,43386.84 
2025/6/27,43819.27 
2025/6/30,44094.77 
2025/7/1,44494.94 
2025/7/2,44484.43 
2025/7/3,44828.53 
2025/7/7,44406.36 
2025/7/8,44240.76 
2025/7/9,44458.30 
2025/7/10,44650.64 
2025/7/11,44371.51 
2025/7/14,44459.65 
2025/7/15,44023.29 
2025/7/16,44254.78 
2025/7/17,44484.49 
2025/7/18,44342.19 
2025/7/21,44323.07 
2025/7/22,44502.44 
2025/7/23,45010.29 
2025/7/24,44693.91 
2025/7/25,44901.92 
2025/7/28,44837.56 
2025/7/29,44632.99 
2025/7/30,44461.28 
2025/7/31,44130.98 
