date,close
2012/4/6,2939.09 
2012/4/13,3023.33 
2012/4/20,3058.03 
2012/4/27,3031.13 
2012/5/4,3140.15 
2012/5/11,3074.04 
2012/5/18,3002.65 
2012/5/25,2998.34 
2012/6/1,3088.60 
2012/6/8,2959.94 
2012/6/15,3022.11 
2012/6/21,2968.17 
2012/6/29,2894.75 
2012/7/6,2933.59 
2012/7/13,2926.68 
2012/7/20,2825.03 
2012/7/27,2757.01 
2012/8/3,2747.75 
2012/8/10,2834.63 
2012/8/17,2737.07 
2012/8/24,2687.60 
2012/8/31,2575.81 
2012/9/7,2732.49 
2012/9/14,2732.50 
2012/9/21,2570.44 
2012/9/28,2668.72 
2012/10/12,2686.06 
2012/10/19,2726.01 
2012/10/26,2613.13 
2012/11/2,2684.66 
2012/11/9,2576.85 
2012/11/16,2491.29 
2012/11/23,2495.17 
2012/11/30,2382.02 
2012/12/7,2490.08 
2012/12/14,2592.96 
2012/12/21,2628.57 
2012/12/28,2747.49 
2013/1/4,2761.98 
2013/1/11,2761.02 
2013/1/18,2919.16 
2013/1/25,2863.82 
2013/2/1,2994.16 
2013/2/8,3073.91 
2013/2/22,2943.98 
2013/3/1,3032.15 
2013/3/8,2950.13 
2013/3/15,2887.76 
2013/3/22,2973.23 
2013/3/29,2857.90 
2013/4/3,2839.19 
2013/4/12,2826.71 
2013/4/19,2921.99 
2013/4/26,2811.49 
2013/5/3,2879.44 
2013/5/10,2978.89 
2013/5/17,3054.49 
2013/5/24,3111.17 
2013/5/31,3121.56 
2013/6/7,2953.62 
2013/6/14,2906.91 
2013/6/21,2787.98 
2013/6/28,2630.88 
2013/7/5,2723.14 
2013/7/12,2771.00 
2013/7/19,2702.80 
2013/7/26,2778.59 
2013/8/2,2811.44 
2013/8/9,2874.96 
2013/8/16,2840.87 
2013/8/23,2863.80 
2013/8/30,2850.71 
2013/9/6,2928.36 
2013/9/13,2997.30 
2013/9/18,2957.19 
2013/9/27,2960.66 
2013/9/30,2988.28 
2013/10/11,3071.84 
2013/10/18,3034.23 
2013/10/25,2934.82 
2013/11/1,2895.37 
2013/11/8,2821.34 
2013/11/15,2883.86 
2013/11/22,2936.67 
2013/11/29,3000.42 
2013/12/6,2970.64 
2013/12/13,2971.76 
2013/12/20,2843.73 
2013/12/27,2883.53 
2014/1/3,2910.56 
2014/1/10,2782.79 
2014/1/17,2783.16 
2014/1/24,2918.59 
2014/1/30,2863.72 
2014/2/7,2900.08 
2014/2/14,2998.76 
2014/2/21,2964.05 
2014/2/28,2830.23 
2014/3/7,2832.39 
2014/3/14,2770.79 
