date,close
2012/4/5,2920.97 
2012/4/6,2939.09 
2012/4/9,2908.73 
2012/4/10,2938.63 
2012/4/11,2945.35 
2012/4/12,3005.47 
2012/4/13,3023.33 
2012/4/16,3017.61 
2012/4/17,2976.10 
2012/4/18,3043.25 
2012/4/19,3032.30 
2012/4/20,3058.03 
2012/4/23,3024.89 
2012/4/24,3011.38 
2012/4/25,3044.57 
2012/4/26,3045.60 
2012/4/27,3031.13 
2012/5/2,3095.29 
2012/5/3,3110.84 
2012/5/4,3140.15 
2012/5/7,3159.72 
2012/5/8,3146.25 
2012/5/9,3084.63 
2012/5/10,3091.07 
2012/5/11,3074.04 
2012/5/14,3055.12 
2012/5/15,3060.16 
2012/5/16,3006.43 
2012/5/17,3049.99 
2012/5/18,3002.65 
2012/5/21,3016.10 
2012/5/22,3068.65 
2012/5/23,3064.82 
2012/5/24,3030.09 
2012/5/25,2998.34 
2012/5/28,3053.90 
2012/5/29,3094.68 
2012/5/30,3089.68 
2012/5/31,3089.95 
2012/6/1,3088.60 
2012/6/4,3004.50 
2012/6/5,2997.46 
2012/6/6,2988.22 
2012/6/7,2973.17 
2012/6/8,2959.94 
2012/6/11,3012.66 
2012/6/12,2997.76 
2012/6/13,3045.96 
2012/6/14,3025.95 
2012/6/15,3022.11 
2012/6/18,3049.20 
2012/6/19,3016.78 
2012/6/20,3007.07 
2012/6/21,2968.17 
2012/6/25,2889.71 
2012/6/26,2890.72 
2012/6/27,2883.81 
2012/6/28,2858.84 
2012/6/29,2894.75 
2012/7/2,2920.39 
2012/7/3,2925.97 
2012/7/4,2914.62 
2012/7/5,2862.40 
2012/7/6,2933.59 
2012/7/9,2872.30 
2012/7/10,2854.40 
2012/7/11,2882.23 
2012/7/12,2930.31 
2012/7/13,2926.68 
2012/7/16,2833.16 
2012/7/17,2849.23 
2012/7/18,2847.61 
2012/7/19,2860.31 
2012/7/20,2825.03 
2012/7/23,2791.51 
2012/7/24,2813.06 
2012/7/25,2787.99 
2012/7/26,2766.68 
2012/7/27,2757.01 
2012/7/30,2727.80 
2012/7/31,2701.31 
2012/8/1,2743.05 
2012/8/2,2707.18 
2012/8/3,2747.75 
2012/8/6,2804.17 
2012/8/7,2822.27 
2012/8/8,2812.41 
2012/8/9,2852.46 
2012/8/10,2834.63 
2012/8/13,2773.02 
2012/8/14,2790.03 
2012/8/15,2773.29 
2012/8/16,2752.07 
2012/8/17,2737.07 
2012/8/20,2734.89 
2012/8/21,2758.81 
2012/8/22,2728.79 
2012/8/23,2738.86 
2012/8/24,2687.60 
2012/8/27,2626.76 
2012/8/28,2631.24 
2012/8/29,2605.58 
2012/8/30,2573.75 
2012/8/31,2575.81 
2012/9/3,2624.93 
2012/9/4,2592.00 
2012/9/5,2597.72 
2012/9/6,2619.25 
2012/9/7,2732.49 
2012/9/10,2753.94 
2012/9/11,2742.37 
2012/9/12,2758.74 
2012/9/13,2721.89 
2012/9/14,2732.50 
2012/9/17,2653.70 
2012/9/18,2634.46 
2012/9/19,2652.85 
